                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9386,                 4.1547,                 4.2228,                0.00053,                0.01056,                 0.0003,                  5e-05,                 3.3629,                  4.126,                 4.1479,             0.00025722,             0.00025722,             0.00025722
                      2,                  3.695,                 3.6668,                 4.0577,                0.00077,                0.01537,                0.00052,                  8e-05,                 3.2914,                 4.0331,                 4.1069,              0.0005235,              0.0005235,              0.0005235
                      3,                 3.2629,                 3.0019,                 3.7486,                0.00155,                 0.0176,                0.00087,                0.00017,                 2.9712,                 3.8533,                  3.964,              0.0007844,              0.0007844,              0.0007844
                      4,                 2.8393,                 2.5735,                 3.4535,                  0.009,                0.16364,                 0.0123,                 0.0048,                  2.338,                 3.2091,                 3.6471,              0.0010399,              0.0010399,              0.0010399
                      5,                 2.6422,                 2.2893,                   3.15,                0.05361,                0.07791,                0.03975,                0.01713,                 2.1387,                 2.8543,                 3.1585,              0.0012901,              0.0012901,              0.0012901
                      6,                 2.5207,                 2.1237,                 2.8982,                0.78824,                0.13622,                0.15629,                0.07394,                 2.1664,                 2.5441,                 2.8491,              0.0013583,              0.0013583,              0.0013583
                      7,                  2.373,                 1.9792,                 2.6943,                0.15063,                0.28416,                0.15007,                0.05808,                 2.2774,                 7.6412,                 2.8903,              0.0013583,              0.0013583,              0.0013583
                      8,                 2.2756,                 1.8545,                 2.5896,                0.72276,                0.27407,                0.30058,                0.16279,                 1.9882,                 2.2561,                 2.5725,              0.0013441,              0.0013441,              0.0013441
                      9,                 2.1265,                 1.7238,                  2.452,                0.71865,                0.28152,                0.26062,                 0.1112,                 2.1629,                 2.0335,                 2.7803,                0.00133,                0.00133,                0.00133
                     10,                 2.0017,                  1.662,                  2.325,                0.69204,                0.28073,                0.29401,                0.15453,                 1.7227,                 1.5554,                 2.3403,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.9402,                 1.5252,                 2.2388,                0.71617,                 0.3081,                0.32771,                0.14754,                 1.7584,                 1.5891,                 2.3274,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.8939,                 1.4728,                  2.195,                0.72184,                0.39032,                 0.4116,                0.23538,                 1.6075,                   1.45,                 2.1708,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.8039,                 1.4083,                 2.1266,                0.76861,                0.45027,                 0.4601,                0.25018,                  1.538,                 1.3492,                 2.0873,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.7615,                 1.3537,                 2.0782,                0.84389,                0.49625,                0.62336,                0.32582,                 1.4404,                  1.291,                  2.004,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.6708,                 1.3291,                 2.0015,                0.80598,                0.52267,                0.71827,                0.35099,                 1.4404,                 1.2337,                 2.0216,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.6524,                 1.3093,                 2.0135,                0.81307,                0.53264,                0.73541,                0.34751,                 1.4925,                 1.1893,                 2.0401,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.6298,                 1.2791,                 1.9777,                0.75461,                0.52727,                0.78293,                0.39744,                 1.4245,                 1.4653,                 1.9845,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.5875,                 1.2447,                 1.9109,                0.84731,                0.52437,                0.79223,                0.41249,                 1.4085,                  1.226,                 1.9519,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.5445,                 1.2217,                 1.8731,                0.78531,                0.49553,                0.71721,                0.33985,                 1.4319,                 1.1985,                 2.0268,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.5617,                 1.2363,                 1.9148,                0.69782,                0.65486,                0.85101,                0.46268,                 1.3781,                 1.0838,                 1.9393,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.5044,                 1.1574,                 1.8558,                 0.6377,                0.78866,                 0.8295,                0.43908,                 1.4162,                 1.1375,                 1.9555,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.5067,                 1.1766,                 1.8302,                0.66877,                0.77665,                0.84177,                0.43602,                 1.3694,                 1.0906,                 1.9028,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.4816,                  1.151,                 1.8227,                0.52687,                0.74139,                0.76402,                0.38517,                 1.3675,                 1.3508,                 1.9055,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.4666,                 1.1358,                 1.7904,                 0.6772,                0.84919,                0.85626,                0.46565,                  1.271,                 1.0382,                 1.7891,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.4793,                 1.1474,                 1.8288,                0.64054,                0.82657,                0.85712,                0.46288,                 1.2928,                  1.095,                 1.8232,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.4527,                 1.1084,                 1.7619,                0.65739,                0.80823,                0.86341,                0.47934,                 1.2982,                 1.0449,                 1.7967,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.4208,                 1.1098,                 1.7824,                0.66664,                0.80478,                0.81529,                0.42875,                 1.3324,                 1.0865,                 1.8542,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.4208,                 1.0809,                 1.7645,                0.74836,                0.87655,                0.87858,                0.48166,                 1.2836,                0.97932,                 1.7823,              0.0010612,              0.0010612,              0.0010612
                     29,                  1.417,                 1.0832,                 1.7319,                0.73546,                0.80357,                 0.8738,                0.48848,                 1.2604,                0.99949,                 1.7785,               0.001047,               0.001047,               0.001047
                     30,                 1.4236,                 1.1025,                 1.7583,                 0.6918,                 0.7924,                0.82819,                0.43983,                 1.2711,                 1.0307,                 1.7725,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.3879,                 1.0529,                 1.7225,                  0.705,                0.83384,                0.85864,                0.49075,                 1.2566,                 1.0196,                 1.7539,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.3678,                 1.0423,                 1.6929,                0.70509,                0.79475,                0.86727,                 0.4988,                 1.2855,                 1.0011,                 1.7713,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.3805,                   1.03,                 1.6831,                 0.7099,                0.69498,                0.81857,                0.45622,                 1.3791,                 1.0617,                  1.864,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.4097,                 1.0265,                 1.7354,                0.69607,                0.80868,                 0.8559,                0.49587,                 1.2561,                0.94541,                 1.7474,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.3634,                 1.0135,                 1.6913,                0.69706,                0.77517,                0.83529,                0.47424,                 1.2799,                 0.9866,                 1.7787,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.3836,                 1.0417,                 1.7037,                0.65259,                0.83396,                0.84742,                0.47221,                 1.2425,                0.96781,                 1.7227,               0.000948,               0.000948,               0.000948
                     37,                 1.3545,                 1.0055,                 1.6787,                0.72462,                0.76879,                0.85985,                0.50394,                 1.2413,                0.94612,                 1.7323,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.3634,                 1.0146,                 1.6961,                0.74033,                0.84006,                0.85274,                0.49953,                 1.2121,                0.94425,                 1.6963,              0.0009197,              0.0009197,              0.0009197
                     39,                   1.34,                 1.0039,                 1.6686,                0.70414,                 0.8308,                0.84864,                 0.4831,                 1.2392,                0.94414,                 1.7174,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.3568,                  1.016,                 1.6768,                0.69223,                0.80909,                 0.8449,                0.50203,                 1.2495,                0.94589,                 1.7203,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.3232,                0.97147,                 1.6472,                0.71448,                 0.8179,                0.84619,                0.49531,                 1.1986,                0.90805,                 1.6872,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.3159,                 0.9741,                 1.6342,                0.73595,                0.84653,                 0.8662,                0.50116,                 1.2149,                0.89342,                 1.6864,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.3504,                0.99484,                 1.6475,                 0.7237,                0.82088,                0.85414,                0.50894,                 1.1904,                0.88222,                 1.6787,             0.00084897,             0.00084897,             0.00084897
                     44,                  1.321,                 1.0018,                 1.6659,                0.73561,                0.82194,                0.86143,                0.52113,                 1.1816,                0.89367,                 1.6539,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2994,                 0.9503,                 1.6178,                0.73059,                0.83807,                0.85612,                0.51808,                 1.2003,                0.87507,                 1.6844,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.3085,                0.95553,                 1.6269,                0.77489,                0.85238,                0.87552,                0.53055,                 1.1762,                0.87535,                 1.6531,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.3133,                0.95404,                 1.6376,                0.72992,                0.80967,                0.84364,                0.50023,                 1.2047,                0.88664,                 1.6902,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.2974,                0.96792,                 1.6209,                0.72975,                0.81343,                0.85017,                0.51126,                 1.1799,                0.86001,                 1.6603,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.2978,                0.94586,                 1.6468,                 0.7118,                0.84121,                0.85771,                0.53458,                 1.1637,                 0.8753,                 1.6387,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2965,                0.93736,                 1.6031,                0.72392,                0.84433,                0.86939,                0.53381,                 1.1816,                0.86072,                 1.6555,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.2919,                0.95754,                 1.6073,                0.70616,                0.83693,                0.83885,                0.51078,                 1.1754,                0.87593,                 1.6503,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.3086,                0.94993,                 1.6238,                0.74562,                0.83802,                0.85195,                0.51079,                 1.1693,                0.88271,                 1.6408,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.2764,                0.91641,                 1.5901,                0.75438,                0.82325,                0.84706,                 0.4961,                 1.2021,                0.86591,                 1.6722,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.3071,                 0.9644,                  1.646,                0.77286,                0.86137,                 0.8813,                  0.535,                 1.1875,                0.87885,                 1.6684,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.2718,                 0.9356,                 1.5974,                0.72858,                0.84858,                0.85196,                0.52273,                 1.1639,                0.87377,                 1.6342,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.2779,                0.92284,                 1.5865,                0.76127,                0.83925,                0.86942,                0.53649,                 1.1562,                0.84077,                 1.6236,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.2624,                0.92206,                 1.6147,                0.77555,                0.85222,                0.87947,                0.55505,                 1.1387,                0.81632,                 1.6189,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.2701,                0.91398,                 1.5921,                0.76625,                0.79932,                0.83857,                0.50751,                 1.1639,                0.83954,                 1.6356,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.2537,                 0.9264,                 1.5986,                0.78279,                0.85525,                0.88014,                0.53581,                 1.1745,                0.82025,                 1.6314,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.2778,                0.92226,                 1.6012,                0.78227,                0.84206,                0.88334,                0.53861,                 1.1493,                0.82787,                 1.6144,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.2685,                0.90892,                 1.5952,                0.78913,                0.84954,                0.87405,                0.53559,                 1.1476,                0.83222,                 1.6141,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.2529,                0.91067,                 1.5871,                0.77634,                0.87327,                0.88383,                0.54844,                 1.1631,                0.81501,                 1.6301,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.2211,                0.88881,                 1.5512,                0.81109,                0.86805,                0.89326,                0.55375,                 1.1326,                0.82415,                 1.6057,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.2422,                0.88914,                 1.5736,                0.80478,                0.86057,                 0.8871,                0.55176,                 1.1381,                0.80793,                 1.6067,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.2364,                0.88205,                 1.5719,                0.77793,                0.86994,                0.88668,                0.55831,                 1.1195,                0.80015,                 1.5856,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.2488,                0.91977,                  1.608,                 0.7868,                0.87639,                0.89533,                0.56091,                 1.1097,                0.80911,                 1.5792,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.2384,                0.87268,                 1.5314,                0.77298,                0.88386,                0.89612,                0.55621,                 1.1306,                0.79885,                 1.5924,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.2385,                0.89236,                 1.5658,                0.80342,                0.87773,                0.90279,                0.57381,                 1.1088,                0.79719,                 1.5764,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.2281,                0.87239,                 1.5388,                0.80061,                0.87338,                0.89778,                0.57373,                  1.107,                0.78584,                 1.5726,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.2137,                0.88314,                 1.5333,                0.79428,                0.85914,                0.89053,                0.56016,                 1.1135,                  0.789,                 1.5779,               0.000467,               0.000467,               0.000467
                     71,                 1.2525,                0.89942,                 1.5862,                0.78451,                0.86908,                0.89071,                0.55658,                 1.1348,                  0.808,                 1.5954,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.2417,                0.87817,                 1.5637,                0.81697,                0.87555,                0.89081,                0.55948,                 1.1263,                0.78434,                 1.5914,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.2384,                0.87629,                 1.5752,                0.80199,                0.87547,                0.89935,                 0.5693,                 1.1116,                0.79091,                   1.58,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.2204,                0.85692,                 1.5401,                0.78152,                0.85945,                  0.899,                0.57395,                    1.1,                0.79871,                 1.5677,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.2239,                0.87072,                 1.5556,                 0.8132,                0.86773,                0.89746,                0.56594,                 1.0908,                0.78955,                 1.5576,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.2019,                0.86337,                 1.5484,                0.80574,                0.88305,                0.90341,                0.57344,                 1.0945,                0.76357,                 1.5663,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.2067,                0.85894,                 1.5381,                0.80606,                 0.8775,                0.89956,                0.56667,                 1.1027,                0.77253,                 1.5797,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.2265,                0.86867,                 1.5655,                0.79391,                0.88631,                0.89714,                0.57274,                 1.1036,                0.78324,                 1.5618,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.2001,                0.86624,                 1.5438,                0.81985,                0.86134,                0.89937,                0.57518,                 1.0953,                0.77105,                 1.5683,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.2075,                0.86472,                 1.5427,                0.80981,                0.88961,                0.91311,                0.58614,                 1.0857,                0.76624,                 1.5563,             0.00032553,             0.00032553,             0.00032553
